brand,type,miles,years,location,nowprice,preprice,kind
奔驰E级新能源,2022款,0.89万公里,Jul-22,重庆,43.38,56.18万,轿车
奔驰A级,2022款,0.66万公里,Mar-22,西安,19.98,25.49万,轿车
奔驰E级新能源,2022款,0.6万公里,Mar-22,南宁,43.8,56.65万,轿车
奔驰A级,2020款,4.6万公里,Mar-20,嘉兴,15.28,24.94万,轿车
奔驰C级(进口),2015款,8万公里,Nov-16,北京,19.9,45.48万,轿车
奔驰A级,2022款,0.86万公里,Apr-22,南京,20.58,28.74万,轿车
奔驰C级AMG,2019款,1.9万公里,Jun-20,北京,63.8,70.97万,轿车
奔驰A级,2020款,1.1万公里,Jan-20,天津,17.98,28.74万,轿车
奔驰E级新能源,2021款,2.18万公里,Jul-21,佛山,42.88,56.65万,轿车
奔驰E级新能源,2021款,1.3万公里,Jul-21,莆田,39.68,56.65万,轿车
奔驰E级新能源,2022款,0.4万公里,May-22,三亚,44.98,54.09万,轿车
奔驰E级新能源,2021款,1.1万公里,Jul-21,徐州,40.78,56.65万,轿车
奔驰C级(进口),2020款,3.88万公里,Aug-21,石家庄,29.98,42.64万,轿车
奔驰A级,2021款,0.26万公里,Dec-21,石家庄,19.6,27.12万,轿车
奔驰C级(进口),2015款,9.6万公里,Jan-16,漳州,18.88,45.48万,轿车
奔驰E级新能源,2022款,1.7万公里,Mar-22,西安,44.3,56.65万,轿车
奔驰A级,2020款,3.37万公里,Sep-20,成都,17.6,28.74万,轿车
奔驰E级新能源,2021款,1.16万公里,Nov-21,青岛,41.8,56.65万,轿车
奔驰A级,2020款,3.23万公里,Sep-20,宁波,15.88,25.27万,轿车
奔驰E级新能源,2021款,0.97万公里,Jul-21,嘉兴,42.68,56.65万,轿车
奔驰A级,2021款,3.7万公里,Apr-21,西安,18.8,28.74万,轿车
奔驰E级新能源,2022款,0.01万公里,Sep-22,北京,45.9,56.65万,轿车
奔驰A级,2019款,5.7万公里,Apr-19,西安,16.8,28.74万,轿车
宝马M3,2021款,1万公里,Jul-21,深圳,89.8,92.25万,轿车
奔驰E级新能源,2021款,1.33万公里,Aug-21,徐州,42.18,56.65万,轿车
奔驰A级,2019款,6万公里,Apr-19,北京,16.5,28.74万,轿车
奔驰E级新能源,2021款,1万公里,Jul-21,杭州,39.9,56.65万,轿车
宝马M3,2021款,0.7万公里,Nov-21,北京,93.98,92.25万,轿车
宝马M3,2021款,0.7万公里,Jan-22,东莞,103.8,97.68万,轿车
奔驰A级,2020款,0.5万公里,Mar-21,泉州,17.5,24.94万,轿车
宝马M3,2021款,1万公里,Oct-21,金华,85.8,92.25万,轿车
奔驰A级,2019款,2.4万公里,Jul-19,广州,15.69,24.94万,轿车
奔驰A级,2020款,2万公里,Nov-20,北京,19.58,28.74万,轿车
奔驰E级新能源,2022款,0.3万公里,Jun-22,郑州,,已降3000元,轿车
奔驰C级(进口),2016款,7.8万公里,Apr-16,无锡,18.9,41.57万,轿车
奔驰A级,2020款,2.4万公里,Oct-20,成都,17.8,25.27万,轿车
奔驰A级,2021款,0.2万公里,Sep-21,遵义,,已降3000元,轿车
宝马M3,2016款,5.9万公里,Jun-18,成都,49.38,105.07万,轿车
奔驰C级(进口),2019款,3.9万公里,Feb-19,成都,24.98,42.42万,轿车
奔驰A级,2020款,2.3万公里,Jan-21,成都,20.18,28.74万,轿车
奔驰C级(进口),2020款,2.3万公里,Apr-21,成都,29.5,42.64万,轿车
奔驰A级,2019款,7.1万公里,Jun-19,成都,,已降2800元,轿车
奔驰E级新能源,2022款,1.2万公里,May-22,武汉,42.9,56.26万,轿车
奔驰A级,2021款,3万公里,Jan-21,昆明,19.58,28.74万,轿车
奔驰A级,2020款,5万公里,Dec-20,贵阳,19.98,28.74万,轿车
奔驰A级,2020款,4万公里,Aug-20,长沙,18.38,28.74万,轿车
奔驰E级新能源,2022款,0.8万公里,Aug-21,广州,42.8,56.65万,轿车
奔驰A级,2020款,6.2万公里,Dec-20,成都,16.88,24.94万,轿车
奔驰A级,2021款,0.9万公里,Aug-21,成都,19.68,27.12万,轿车
奔驰C级(进口),2019款,3万公里,Nov-19,上海,25.88,42.42万,轿车
奔驰A级,2020款,3.3万公里,Jun-20,重庆,18.68,28.74万,轿车
奔驰C级(进口),2016款,5.8万公里,Aug-16,南京,19.58,41.57万,轿车
奔驰A级,2020款,5.2万公里,Dec-19,济南,16.8,28.74万,轿车
奔驰A级,2019款,2.9万公里,Dec-19,杭州,18.8,28.74万,轿车
奔驰A级,2020款,1.8万公里,Jun-20,广州,18.9,28.74万,轿车
宝马M3,2016款,4万公里,Apr-17,成都,39.8,105.07万,轿车
奔驰A级,2022款,0.8万公里,Apr-21,昆明,21.5,28.74万,轿车
奔驰A级,2021款,0.7万公里,Apr-21,阜阳,17,28.74万,轿车
奔驰A级,2020款,2.1万公里,Aug-20,阜阳,18.3,28.74万,轿车
奔驰E级新能源,2022款,0.44万公里,Sep-22,潍坊,42.8,56.48万,轿车
宝马M3,2021款,1.7万公里,Nov-21,广州,88,92.25万,轿车
奔驰A级,2019款,3.7万公里,Apr-19,常州,15.8,28.74万,轿车
奔驰A级,2021款,0.42万公里,Jun-21,青岛,18.5,25.27万,轿车
宝马M3,2021款,1万公里,Sep-21,杭州,92.8,92.25万,轿车
奔驰C级(进口),2019款,3.9万公里,Sep-19,温州,27.5,42.42万,轿车
奔驰A级,2020款,2万公里,Mar-20,重庆,17.8,28.74万,轿车
奔驰A级,2021款,1万公里,Jan-21,丽水,20.38,28.74万,轿车
奔驰A级,2020款,4万公里,Aug-19,哈尔滨,17.98,28.74万,轿车
奔驰E级新能源,2021款,1.1万公里,May-21,济南,45.98,56.65万,轿车
奔驰A级,2021款,1.2万公里,Jun-21,台州,20.28,28.74万,轿车
奔驰A级,2020款,4.2万公里,Oct-20,泉州,19.3,28.74万,轿车
奔驰A级,2020款,3.7万公里,Jan-20,杭州,18.5,28.74万,轿车
奔驰C级(进口),2015款,8.9万公里,Mar-16,哈尔滨,20.5,45.48万,轿车
奔驰A级,2020款,2.6万公里,Mar-20,福州,18.98,28.74万,轿车
奔驰C级(进口),2018款,6.2万公里,Feb-18,重庆,24.8,42.20万,轿车
奔驰A级,2021款,1.1万公里,Aug-21,佛山,19.38,28.74万,轿车
奔驰A级,2019款,5.8万公里,May-19,淮安,16.8,24.94万,轿车
奔驰A级,2020款,2.9万公里,Mar-20,龙岩,19.6,28.74万,轿车
奔驰C级(进口),2018款,7.2万公里,Jun-18,临沂,25.8,42.20万,轿车
宝马M3,2021款,0.01万公里,未上牌,深圳,98.88,92.25万,轿车
