kind,usingTime,brandName,money,performance,mile,where
轿车,0,奔驰E级新能源,433800,1.95,89,重庆
轿车,0,奔驰A级,199800,1.18,66,西安
轿车,0,奔驰E级新能源,438000,1.17,60,南宁
轿车,2,奔驰A级,152800,1.16,459,嘉兴
轿车,7,奔驰C级(进口),199000,2.04,800,北京
轿车,0,奔驰A级,205799,1.17,86,南京
轿车,3,奔驰C级AMG,638000,1.01,190,北京
轿车,2,奔驰A级,179800,1.13,110,天津
轿车,1,奔驰E级新能源,428800,1.32,218,佛山
轿车,1,奔驰E级新能源,396800,1.42,130,莆田
轿车,0,奔驰E级新能源,449799,1.17,40,三亚
轿车,1,奔驰E级新能源,407800,1.24,110,徐州
轿车,2,奔驰C级(进口),299800,1.72,388,石家庄
轿车,1,奔驰A级,196000,1.36,26,石家庄
轿车,7,奔驰C级(进口),188800,2.51,960,漳州
轿车,0,奔驰E级新能源,443000,1.95,170,西安
轿车,2,奔驰A级,176000,1.91,337,成都
轿车,1,奔驰E级新能源,418000,1.14,115,青岛
轿车,2,奔驰A级,158800,1.9,323,宁波
轿车,1,奔驰E级新能源,426800,1.74,97,嘉兴
轿车,1,奔驰A级,188000,1.67,370,西安
轿车,0,奔驰E级新能源,459000,1.72,1,北京
轿车,3,奔驰A级,168000,2.81,570,西安
轿车,1,宝马M3,898000,1.29,100,深圳
轿车,1,奔驰E级新能源,421800,1.68,133,徐州
轿车,3,奔驰A级,165000,2.33,600,北京
轿车,1,奔驰E级新能源,399000,1.71,100,杭州
轿车,1,宝马M3,939800,1.74,70,北京
轿车,1,宝马M3,1038000,1.75,70,东莞
轿车,2,奔驰A级,175000,1.82,50,泉州
轿车,1,宝马M3,858000,1.51,100,金华
轿车,3,奔驰A级,156900,1.72,240,广州
轿车,2,奔驰A级,195799,1.18,200,北京
轿车,6,奔驰C级(进口),189000,2.69,780,无锡
轿车,2,奔驰A级,178000,1.2,240,成都
轿车,6,宝马M3,493800,1.8,590,成都
轿车,3,奔驰C级(进口),249800,1.15,390,成都
轿车,2,奔驰A级,201800,1.12,229,成都
轿车,2,奔驰C级(进口),295000,1.24,229,成都
轿车,0,奔驰E级新能源,429000,1.53,120,武汉
轿车,1,奔驰A级,195799,1.84,300,昆明
轿车,2,奔驰A级,199800,2.52,500,贵阳
轿车,2,奔驰A级,183800,1.83,400,长沙
轿车,0,奔驰E级新能源,428000,1.58,80,广州
轿车,2,奔驰A级,168800,2.97,620,成都
轿车,1,奔驰A级,196800,1.84,90,成都
轿车,3,奔驰C级(进口),258800,1.83,300,上海
轿车,2,奔驰A级,186800,1.4,330,重庆
轿车,6,奔驰C级(进口),195799,2.67,580,南京
轿车,2,奔驰A级,168000,2.76,520,济南
轿车,3,奔驰A级,188000,1.55,290,杭州
轿车,2,奔驰A级,189000,1.83,180,广州
轿车,6,宝马M3,398000,1.53,400,成都
轿车,0,奔驰A级,215000,1.75,80,昆明
轿车,1,奔驰A级,170000,1.94,70,阜阳
轿车,2,奔驰A级,183000,1.99,210,阜阳
轿车,0,奔驰E级新能源,428000,1.56,44,潍坊
轿车,1,宝马M3,880000,1.37,170,广州
轿车,3,奔驰A级,158000,1.42,370,常州
轿车,1,奔驰A级,185000,1.88,42,青岛
轿车,1,宝马M3,928000,1.85,100,杭州
轿车,3,奔驰C级(进口),275000,1.14,390,温州
轿车,2,奔驰A级,178000,1.05,200,重庆
轿车,1,奔驰A级,203800,1.06,100,丽水
轿车,2,奔驰A级,179800,1.39,400,哈尔滨
轿车,1,奔驰E级新能源,459799,1.06,110,济南
轿车,1,奔驰A级,202800,1.77,120,台州
轿车,2,奔驰A级,193000,1.85,420,泉州
轿车,2,奔驰A级,185000,1.33,370,杭州
轿车,7,奔驰C级(进口),205000,2.83,890,哈尔滨
轿车,2,奔驰A级,189800,1.48,260,福州
轿车,4,奔驰C级(进口),248000,2.42,620,重庆
轿车,1,奔驰A级,193800,1.32,110,佛山
轿车,3,奔驰A级,168000,2.65,580,淮安
轿车,2,奔驰A级,196000,1.41,290,龙岩
轿车,4,奔驰C级(进口),258000,2.01,720,临沂
轿车,1,宝马M3,988800,1.49,1,深圳
轿车,2,奔驰A级,188000,1.18,290,济南
轿车,3,奔驰A级,165799,2.82,620,重庆
轿车,3,奔驰A级,168000,2.04,580,中山
轿车,0,奔驰A级,208000,1.06,69,合肥
轿车,1,奔驰A级,198000,1.17,160,丽水
轿车,1,奔驰A级,179800,1.15,100,青岛
轿车,1,奔驰E级新能源,429000,1.25,170,泉州
轿车,1,奔驰A级,203800,1.82,84,成都
轿车,1,奔驰A级,177000,1.63,180,成都
轿车,1,奔驰E级新能源,438000,1.93,80,东莞
轿车,0,奔驰E级新能源,458000,1.25,1,合肥
轿车,1,宝马M3,839800,1.18,66,无锡
轿车,1,奔驰A级,199800,1.86,200,合肥
轿车,2,奔驰A级,157800,1.91,382,长沙
轿车,3,奔驰A级,181800,1.84,390,郑州
轿车,0,奔驰E级新能源,435800,1.04,100,成都
轿车,2,奔驰A级,156800,1.22,390,成都
轿车,1,奔驰A级,199000,1.3,95,郑州
轿车,3,奔驰A级,177000,1.95,170,上海
轿车,3,奔驰A级,139900,1.31,258,成都
轿车,1,奔驰E级新能源,418000,1.3,117,青岛
轿车,1,奔驰E级新能源,418000,1.54,81,青岛
轿车,0,奔驰A级,205799,1.82,56,青岛
轿车,3,奔驰A级,168000,1.47,459,中山
轿车,3,奔驰A级,146000,1.48,400,深圳
轿车,2,奔驰A级,168000,1.09,240,深圳
轿车,3,奔驰A级,159800,1.73,320,杭州
轿车,1,奔驰E级新能源,459799,1.53,1,沈阳
轿车,1,奔驰A级,165799,1.06,70,上海
轿车,1,奔驰E级新能源,423800,1.83,70,深圳
轿车,2,奔驰A级,168000,1.15,200,南京
轿车,1,奔驰E级新能源,418800,1.58,240,杭州
轿车,1,奔驰E级新能源,428800,1.19,90,杭州
轿车,1,奔驰A级,169800,1.31,290,无锡
