money,kind,usingTime,mile
high,med,small,low
med,med,small,low
high,med,small,low
med,med,small,low
med,med,med,med
med,med,small,low
low,med,small,low
med,med,small,low
high,med,small,low
high,med,small,low
high,med,small,low
high,med,small,low
med,med,small,low
med,med,small,low
med,med,med,med
high,med,small,low
med,med,small,low
high,med,small,low
med,med,small,low
high,med,small,low
med,med,small,low
high,med,small,low
med,med,small,med
low,med,small,low
high,med,small,low
med,med,small,med
high,med,small,low
low,med,small,low
low,med,small,low
med,med,small,low
low,med,small,low
med,med,small,low
med,med,small,low
med,med,med,med
med,med,small,low
high,med,med,med
med,med,small,low
med,med,small,low
med,med,small,low
high,med,small,low
med,med,small,low
med,med,small,med
med,med,small,low
high,med,small,low
med,med,small,med
med,med,small,low
med,med,small,low
med,med,small,low
med,med,med,med
med,med,small,med
med,med,small,low
med,med,small,low
high,med,med,low
med,med,small,low
med,med,small,low
med,med,small,low
high,med,small,low
low,med,small,low
med,med,small,low
med,med,small,low
low,med,small,low
med,med,small,low
med,med,small,low
med,med,small,low
med,med,small,low
high,med,small,low
med,med,small,low
med,med,small,low
med,med,small,low
med,med,med,med
med,med,small,low
med,med,small,med
med,med,small,low
med,med,small,med
med,med,small,low
med,med,small,med
low,med,small,low
med,med,small,low
med,med,small,med
med,med,small,med
med,med,small,low
med,med,small,low
med,med,small,low
high,med,small,low
med,med,small,low
med,med,small,low
high,med,small,low
high,med,small,low
low,med,small,low
med,med,small,low
med,med,small,low
med,med,small,low
high,med,small,low
med,med,small,low
med,med,small,low
med,med,small,low
med,med,small,low
high,med,small,low
high,med,small,low
med,med,small,low
med,med,small,low
med,med,small,low
med,med,small,low
med,med,small,low
high,med,small,low
med,med,small,low
high,med,small,low
med,med,small,low
high,med,small,low
high,med,small,low
med,med,small,low
vhigh,med,small,low
med,med,small,low
low,med,small,low
med,med,small,low
med,med,small,low
med,med,med,med
high,med,small,low
high,med,small,low
med,med,small,med
med,med,small,low
low,med,small,low
med,med,small,low
high,med,small,low
high,med,small,low
med,med,small,low
med,med,small,low
high,med,small,low
high,med,small,low
med,med,small,low
med,med,small,low
high,med,small,low
med,med,small,low
med,med,small,low
vhigh,med,small,low
med,med,small,low
low,med,small,low
med,med,small,low
med,med,small,low
high,med,med,med
med,med,small,low
med,med,small,low
high,med,small,low
med,med,small,low
med,med,small,low
med,med,small,low
med,med,small,low
med,med,small,low
med,med,small,low
med,med,small,low
med,med,small,low
med,med,small,low
med,med,small,low
high,med,small,low
high,med,small,low
med,med,small,low
med,med,med,med
med,med,small,low
high,med,small,low
med,med,small,low
high,med,small,low
med,med,med,low
high,med,small,low
med,med,small,low
high,med,small,low
med,med,small,low
med,med,small,med
med,med,small,low
med,med,small,low
med,med,small,low
med,med,small,med
med,med,small,low
med,med,small,low
med,med,small,low
med,med,small,low
med,med,small,low
med,med,small,low
med,med,small,low
med,med,small,low
med,med,small,low
high,med,small,low
med,med,small,low
med,med,small,low
med,med,small,low
med,med,small,low
med,med,small,low
med,med,small,low
med,med,small,low
high,med,small,low
med,med,small,med
med,med,small,med
med,med,small,low
high,med,small,low
high,med,small,low
high,med,med,med
high,med,small,low
high,med,med,med
high,med,small,low
med,med,small,low
high,med,small,low
med,med,small,low
med,med,small,low
med,med,small,low
med,med,small,low
vhigh,med,small,low
med,med,small,med
med,med,small,low
med,med,small,med
med,med,small,low
med,med,small,low
high,med,small,low
med,med,small,med
med,med,small,low
med,med,small,low
med,med,small,low
med,med,small,low
med,med,med,med
med,med,small,low
high,med,small,low
med,med,small,low
med,med,small,low
med,med,med,med
med,med,small,low
med,med,small,low
med,med,small,low
med,med,small,med
med,med,small,low
med,med,small,low
med,med,small,med
low,med,small,low
med,med,small,low
med,med,small,low
med,med,small,low
low,med,small,low
med,med,small,low
high,med,small,low
med,med,small,low
med,med,small,low
med,med,small,low
med,med,small,low
med,med,small,low
med,med,small,low
med,med,small,low
med,med,small,low
med,med,small,low
vhigh,med,med,low
med,med,small,med
high,med,small,low
med,med,small,med
high,med,small,low
med,med,small,low
med,med,small,low
vhigh,med,small,low
med,med,small,low
med,med,small,low
med,med,med,med
med,med,small,low
med,med,small,low
med,med,small,med
med,med,small,low
med,med,small,low
med,med,small,low
med,med,small,med
med,med,small,low
high,med,small,low
med,med,small,low
high,med,small,low
med,med,small,low
med,med,small,low
high,med,small,low
med,med,small,low
high,med,small,low
med,med,med,med
vhigh,med,med,med
med,med,small,low
med,med,small,low
med,med,small,low
med,med,small,low
med,med,small,low
high,med,small,low
med,med,small,low
med,med,small,med
med,med,small,low
med,med,small,low
med,med,small,low
med,med,small,low
med,med,small,med
high,med,small,low
high,med,small,low
med,med,small,med
med,med,small,low
high,med,small,low
med,med,small,low
med,med,small,low
med,med,small,low
med,med,small,med
med,med,small,low
med,med,small,low
med,med,med,med
med,med,small,low
med,med,small,low
med,med,small,low
med,med,small,med
med,med,small,med
med,med,small,low
med,med,small,low
med,med,small,med
high,med,small,low
med,med,small,low
low,med,small,low
med,med,small,med
med,med,small,low
med,med,small,low
med,med,small,low
high,med,small,low
med,med,small,low
med,med,small,low
med,med,small,low
med,med,small,low
high,med,small,low
high,med,small,low
med,med,small,low
med,med,small,low
med,med,small,low
med,med,small,low
med,med,small,low
med,med,small,low
med,med,small,low
med,med,small,low
med,med,small,low
med,med,small,low
med,med,small,low
high,med,small,low
med,med,small,med
med,med,small,low
high,med,small,low
med,med,small,low
med,med,small,low
med,med,small,low
med,med,small,low
high,med,small,low
med,med,small,low
med,med,small,low
med,med,small,low
high,med,small,low
med,med,med,low
high,med,small,low
high,med,small,low
med,med,small,low
med,med,small,low
med,med,small,low
med,med,small,low
med,med,small,low
med,med,small,med
med,med,small,low
med,med,small,low
med,med,small,low
high,med,small,low
med,med,small,low
med,med,small,low
med,med,small,med
med,med,small,low
med,med,small,med
med,med,small,med
med,med,small,med
med,med,small,med
med,med,med,med
med,med,small,low
med,med,small,low
med,med,small,low
med,med,med,med
med,med,small,low
med,med,med,med
high,med,med,med
med,med,small,low
low,med,small,low
high,med,small,low
med,med,small,low
med,med,small,low
med,med,small,low
med,med,small,med
med,med,small,med
med,med,small,low
med,med,med,med
med,med,small,med
med,med,small,low
med,med,small,low
med,med,small,low
med,med,small,low
med,med,small,low
high,med,med,med
med,med,small,low
med,med,small,low
med,med,med,med
med,med,small,low
med,med,small,med
low,high,small,low
med,high,small,low
high,high,small,low
med,high,small,med
med,high,small,low
high,high,small,low
med,high,big,med
med,high,small,med
low,high,small,med
low,high,med,med
low,high,small,low
low,high,small,low
low,high,small,med
low,high,med,med
low,high,small,low
low,high,small,low
low,high,med,med
med,high,med,med
med,high,small,low
low,high,big,med
med,high,small,med
high,high,small,low
low,high,small,low
med,high,small,low
med,high,small,low
low,high,small,low
low,high,small,low
low,high,med,low
low,high,small,med
low,high,med,med
high,high,small,low
med,high,med,med
med,high,med,high
low,high,med,low
low,high,med,low
high,high,small,low
vhigh,high,small,low
low,high,small,med
high,high,small,low
med,high,small,low
low,high,small,low
high,high,small,low
med,high,small,med
med,high,small,low
high,high,small,low
med,high,small,low
med,high,small,low
med,high,small,low
high,high,small,low
high,high,med,low
med,high,small,low
high,high,small,low
med,high,med,med
med,high,small,med
med,high,small,med
high,high,small,low
low,high,small,low
med,high,small,med
high,high,small,med
low,high,small,low
med,high,small,low
med,high,small,low
med,high,med,med
med,high,small,low
med,high,small,med
med,high,small,low
high,high,small,low
low,high,small,low
med,high,small,low
high,high,small,low
high,high,small,low
high,high,small,low
med,high,small,low
low,high,small,low
low,high,small,med
med,high,small,med
low,high,med,med
vhigh,high,small,low
med,high,small,med
high,high,small,low
high,high,med,med
med,high,med,med
high,high,small,low
med,high,small,low
med,high,med,low
med,high,med,med
med,high,small,low
med,high,small,med
med,high,med,high
med,high,small,low
low,high,med,med
med,high,small,low
low,high,med,low
med,high,big,med
low,high,small,low
high,high,med,low
high,high,small,low
high,high,small,low
med,high,big,med
vhigh,high,small,low
high,high,small,low
high,high,small,low
med,high,small,low
high,high,small,low
high,high,small,low
med,high,small,low
high,high,small,low
high,high,small,med
high,high,small,low
med,high,med,med
high,high,small,low
high,high,med,low
med,high,med,med
low,high,small,med
high,high,small,med
med,high,small,med
med,high,med,low
med,high,small,low
med,high,small,low
med,high,small,med
low,high,small,low
med,high,small,low
high,high,small,low
low,high,small,low
low,high,med,med
med,high,small,low
med,high,small,low
high,high,med,low
high,high,small,low
med,high,small,med
med,high,small,low
med,high,big,med
med,high,small,low
med,high,small,low
high,high,small,low
med,high,small,low
low,high,small,med
med,high,small,med
low,high,small,med
low,high,small,med
med,high,med,med
low,high,small,med
low,high,small,low
high,high,small,low
med,high,small,low
low,high,big,med
low,high,small,low
med,high,small,med
high,high,small,low
med,high,big,high
med,high,med,med
low,high,big,low
low,high,small,med
low,high,med,low
high,high,small,low
low,high,small,med
med,high,small,low
med,high,med,med
med,high,med,med
high,high,small,low
med,high,small,med
high,high,small,low
med,high,small,low
med,high,small,low
high,high,small,low
high,high,small,low
med,high,small,med
vhigh,high,small,low
high,high,med,low
high,high,small,med
med,high,small,med
low,high,big,high
med,high,med,med
low,high,small,med
low,high,small,low
med,high,small,low
low,high,small,low
high,high,small,med
med,high,med,med
high,high,small,low
low,high,med,med
high,high,small,med
low,high,med,med
low,high,small,low
med,high,small,med
low,high,small,med
med,high,small,low
med,high,small,med
med,high,small,low
high,high,small,low
med,high,med,med
vhigh,high,small,low
low,high,small,low
high,high,small,low
high,high,small,med
med,high,small,med
med,high,small,low
low,high,small,low
med,high,med,med
low,high,small,low
med,high,small,med
low,high,small,med
high,high,small,low
high,high,small,low
high,high,med,high
high,high,small,low
high,high,small,low
high,high,small,low
low,high,small,low
med,high,small,med
vhigh,high,small,low
low,high,med,med
low,high,big,high
high,high,small,low
high,high,small,med
low,high,small,low
low,high,small,low
low,high,small,low
med,high,small,low
low,high,med,med
low,high,small,low
high,high,small,low
high,high,med,med
med,high,small,med
low,high,small,low
high,high,small,low
low,high,small,low
med,high,small,med
med,high,med,low
high,high,small,low
med,high,med,med
high,high,small,low
low,high,small,low
med,high,med,med
low,high,small,low
low,high,small,low
low,high,small,med
med,high,small,med
med,high,med,low
high,high,small,low
low,high,small,low
low,high,big,med
low,high,small,med
med,high,med,med
med,high,small,low
med,high,small,low
low,high,med,med
high,high,small,med
high,high,small,low
med,high,small,med
med,high,small,med
high,high,small,low
med,high,med,med
high,high,small,low
low,high,small,med
low,high,small,med
med,high,big,low
med,high,small,low
med,high,med,med
high,high,med,med
high,high,small,med
vhigh,high,small,low
low,high,small,med
high,high,small,low
med,high,med,med
med,high,small,med
low,high,small,low
low,high,small,low
high,high,small,low
med,high,small,med
med,high,small,med
low,high,small,low
med,high,med,med
med,high,small,med
low,high,small,low
med,high,big,low
med,high,small,med
med,high,med,med
med,high,med,med
med,high,small,low
med,high,small,low
med,high,small,med
high,high,med,low
low,high,small,med
low,high,med,med
med,high,small,med
med,high,small,med
med,high,small,med
med,high,med,med
low,high,med,high
med,high,med,low
low,high,med,med
med,high,small,med
low,high,med,med
med,high,small,low
med,high,med,med
med,high,med,med
high,high,small,low
med,high,med,med
low,high,med,low
med,high,med,med
med,high,med,low
med,high,med,low
low,high,big,med
med,high,med,med
med,high,small,med
med,high,med,med
low,high,small,med
med,high,small,med
med,high,med,low
med,high,small,med
high,high,small,med
high,high,small,low
med,high,small,med
med,high,small,med
high,high,small,low
low,high,small,low
med,high,small,low
med,high,small,low
med,high,small,low
low,high,med,med
low,high,small,med
vhigh,high,small,low
low,high,small,med
low,high,med,med
med,high,small,low
high,high,med,low
med,high,small,med
high,high,small,low
med,high,small,med
low,high,small,low
low,high,med,med
high,high,small,low
low,high,small,low
low,high,big,med
med,high,med,med
low,high,small,low
low,high,small,low
low,high,small,med
med,high,med,low
med,high,med,med
high,high,small,low
low,high,small,med
low,high,small,low
high,high,small,low
high,high,med,med
low,high,small,low
low,high,small,med
low,high,med,med
med,high,small,low
low,high,big,med
med,high,small,low
med,high,small,low
med,high,small,med
med,high,small,med
med,high,small,low
med,high,big,med
med,high,small,low
low,high,small,med
high,high,small,low
high,high,small,low
med,high,med,med
low,high,med,high
low,high,small,low
med,high,small,low
med,high,small,med
low,high,med,low
low,high,med,med
med,high,med,med
low,high,small,med
med,high,small,low
high,high,small,med
med,high,small,low
high,high,small,low
med,high,small,low
med,high,small,med
med,high,small,med
low,vhigh,small,low
low,vhigh,med,low
vhigh,vhigh,small,low
low,vhigh,small,low
med,vhigh,med,med
high,vhigh,med,med
vhigh,vhigh,small,low
vhigh,vhigh,small,low
high,vhigh,med,low
low,vhigh,small,low
low,vhigh,small,low
vhigh,vhigh,small,low
low,vhigh,small,low
low,vhigh,small,low
low,vhigh,small,low
med,vhigh,small,med
low,vhigh,small,low
high,vhigh,small,med
low,vhigh,small,low
vhigh,vhigh,small,low
low,vhigh,big,med
low,vhigh,small,low
vhigh,vhigh,small,low
high,vhigh,small,med
vhigh,vhigh,small,low
vhigh,vhigh,small,low
high,vhigh,med,med
low,vhigh,small,low
med,vhigh,small,low
vhigh,vhigh,small,med
vhigh,vhigh,small,low
low,vhigh,small,low
low,vhigh,small,low
low,vhigh,med,low
high,vhigh,med,low
low,vhigh,small,low
high,vhigh,med,med
vhigh,vhigh,small,low
low,vhigh,small,low
low,vhigh,med,low
low,vhigh,small,low
high,vhigh,small,low
med,vhigh,small,low
vhigh,vhigh,small,low
high,vhigh,small,med
low,vhigh,med,med
high,vhigh,small,low
vhigh,vhigh,big,med
low,vhigh,med,low
high,vhigh,small,low
vhigh,vhigh,small,low
vhigh,vhigh,small,low
high,vhigh,small,low
low,vhigh,small,low
low,vhigh,small,low
low,vhigh,small,low
