brand,type,miles,years,location,nowprice,preprice
保时捷911,2019款,0.48万公里,未上牌,合肥,179.80,175.41万
ID.4,X,1.7万公里,2021-10,合肥,17.08,25.60万
天籁,2013款,7.4万公里,2014-11,合肥,7.28,20.17万
Cayenne,2019款,0.02万公里,2022-02,合肥,110.80,99.10万
奥迪A4L,2016款,8万公里,2016-06,南昌,14.28,36.14万
宝马5系新能源,2021款,0.01万公里,未上牌,杭州,40.68,54.26万
smart,forfour,3万公里,2018-04,北京,8.80,14.42万
Cayenne新能源,2021款,1.1万公里,2021-07,嘉兴,83.80,94.22万
Panamera新能源,2021款,0.59万公里,2021-11,合肥,129.80,126.78万
Macan,2021款,1.6万公里,2021-11,合肥,52.18,57.64万
Panamera,2022款,1万公里,2022-04,合肥,149.80,130.91万
Panamera,2017款,2.7万公里,2018-12,合肥,99.80,130.91万
瑞虎3,2016款,3万公里,2017-02,昆明,3.58,7.48万
魅影,2018款,0.17万公里,2020-01,深圳,618.00,548.16万
Panamera,2014款,10.6万公里,2014-07,苏州,39.98,135.14万
奔驰CLS,2016款,3.9万公里,2016-08,上海,30.80,75.77万
Panamera,2022款,0.05万公里,2022-10,合肥,143.80,123.53万
Cayenne,2023款,0.6万公里,2022-06,合肥,133.80,126.78万
Cayenne新能源,2021款,4.2万公里,2021-07,合肥,77.80,94.22万
Cayenne,2019款,1.3万公里,2021-05,合肥,105.80,108.33万
Cayenne,2011款,9万公里,2011-07,佛山,27.80,100.08万
Cayenne,2018款,9万公里,2018-01,佛山,59.80,97.15万
揽胜运动版,2018款,4.2万公里,2019-06,沈阳,71.80,111.59万
雷克萨斯ES,2021款,1万公里,2022-01,沈阳,38.80,41.13万
锐志,2012款,9.6万公里,2013-04,合肥,10.38,25.81万
本田XR-V,2021款,0.94万公里,2021-05,合肥,11.88,15.62万
蒙迪欧,2013款,7.7万公里,2016-01,合肥,7.38,20.60万
别克GL8,2021款,7万公里,2021-08,合肥,28.88,34.07万
Polo,2009款,9.81万公里,2010-12,苏州,2.18,12.33万
奔驰E级(进口),2019款,4万公里,2019-08,深圳,36.80,56.10万
威尔法,2020款,4.5万公里,2020-01,深圳,82.98,94.44万
奥德赛,2019款,3.4万公里,2019-12,东莞,23.98,32.00万
Panamera,2019款,1.8万公里,2020-12,合肥,103.98,105.62万
Taycan,2020款,0.8万公里,2021-01,合肥,85.80,96.39万
发现,2016款,28万公里,2015-04,南京,36.50,100.73万
亚洲龙,2019款,5.6万公里,2020-06,青岛,18.78,26.03万
奥迪A4L,2018款,7.6万公里,2018-11,东莞,18.28,37.22万
索纳塔,2020款,3.3万公里,2020-09,东莞,13.98,19.95万
红旗H5经典,2019款,6.6万公里,2020-09,东莞,10.28,18.65万
雅阁,2018款,3.4万公里,2021-07,东莞,16.99,21.69万
探岳GTE插电混动,2020款,0.39万公里,2021-05,杭州,16.30,27.12万
MINI,CLUBMAN,2.9万公里,2020-05,汕头,22.50,31.24万
奥迪Q2L,e-tron,0.95万公里,2021-05,郑州,15.58,25.76万
宝马2系,2021款,0.56万公里,2021-03,太原,21.98,29.25万
飞行家,2020款,1.49万公里,2021-01,南京,46.58,59.68万
宝马3系,2021款,2.47万公里,2020-10,嘉兴,27.99,37.66万
骐达TIIDA,2016款,7万公里,2017-07,上饶,6.88,12.36万
宝马4系,2022款,1.2万公里,2022-06,上海,52.80,55.02万
超霸4Runner,2019款,2.9万公里,2019-06,玉溪,52.00,
Panamera,2010款,9万公里,2011-08,沈阳,32.80,135.90万
MINI,2016款,7.6万公里,2017-04,沈阳,14.98,28.42万
阿斯顿・马丁DBX,2022款,0.57万公里,2022-06,厦门,238.80,257.04万
宝马X5,M,0.19万公里,2021-03,上海,131.98,156.19万
宝马X2,2021款,3万公里,2020-11,上海,17.98,31.46万
宝马X4,2019款,4.6万公里,2019-12,上海,31.98,49.48万
MINI,COUNTRYMAN,5.6万公里,2018-10,上海,17.98,29.72万
威霆,2021款,0.03万公里,2022-08,上海,52.80,33.84万
威霆,2021款,0.02万公里,2022-08,上海,45.80,28.09万
